Timesteps,Future Steps,Threshold,TPR,FDR,FTA,Lead Time
10,9,0.1,0.9444444444444444,0.8929208615731017,0.2633581730434201,-1.017911522633745
10,9,0.2,0.9571150097465888,0.8517364169316445,0.3066960525069486,-0.5498816872427983
10,9,0.3,0.95679012345679,0.8226003364858735,0.3220889788655565,-0.2599372773800878
10,9,0.4,0.9325925925925928,0.8113366304351789,0.3377126610345901,0.5176433067737416
10,9,0.5,0.7918743890518084,0.7727902800893376,0.3915885864241465,0.1930431547619048
10,9,0.6,0.0,1.0,0.0,0.0
10,9,0.7000000000000001,0.0,0.0,0.0,0.0
10,9,0.8,0.0,0.0,0.0,0.0
10,9,0.9,0.0,0.0,0.0,0.0
10,12,0.1,0.9444444444444444,0.8826557835779684,0.2730465790872362,-0.7681172839506174
10,12,0.2,0.9444444444444444,0.8605362968135918,0.319249735208096,-0.5795370370370371
10,12,0.3,0.9444444444444444,0.8166579914794201,0.3836030056753012,-0.4583877131099353
10,12,0.4,0.0,0.0,0.0,0.0
10,12,0.5,0.0,0.0,0.0,0.0
10,12,0.6,0.0,0.0,0.0,0.0
10,12,0.7000000000000001,0.0,0.0,0.0,0.0
10,12,0.8,0.0,0.0,0.0,0.0
10,12,0.9,0.0,0.0,0.0,0.0
20,1,0.1,0.9444444444444444,0.839358608073887,0.2627264623922432,-1.5040814226925336
20,1,0.2,0.925925925925926,0.8280457222851317,0.2871638690009103,-1.302717519106408
20,1,0.3,0.9074074074074072,0.8138308670713925,0.3085684588119022,-1.1656187536743092
20,1,0.4,0.9074074074074072,0.8086621197554392,0.3242854284820617,-0.9806246325690772
20,1,0.5,0.9074074074074072,0.7865394181599715,0.343208381183399,-0.5818885949441505
20,1,0.6,0.9074074074074072,0.777016030579533,0.3708559144550165,-0.2107833627278071
20,1,0.7000000000000001,0.9074074074074072,0.755107219107116,0.4213602043221863,-0.0355452674897119
20,1,0.8,0.8604938271604938,0.6983666887630098,0.5776005832577493,0.1639039728952009
20,1,0.9,0.7639957264957264,0.4509726967710161,0.7871082951501396,0.8106845238095239
20,3,0.1,0.9074074074074073,0.8321842203266631,0.29862571457552867,-1.0493195179306292
20,3,0.2,0.9074074074074073,0.8181385454985679,0.3268754713237562,-0.28956055261610814
20,3,0.30000000000000004,0.9074074074074073,0.8025150284092557,0.3492112139375421,-0.14435185185185187
20,3,0.4,0.9074074074074073,0.7903313557113123,0.37543681798062195,-0.03128306878306882
20,3,0.5,0.9074074074074073,0.7770194131363364,0.42151281584538397,-0.006374191651969458
20,3,0.6,0.9074074074074073,0.7225803986673552,0.4811505001098931,0.06618823292799901
20,3,0.7000000000000001,0.8604938271604938,0.6359521526001706,0.6600688473470726,0.47897651263234337
20,3,0.8,0.0,0.0,0.0,0.0
20,3,0.9,0.0,0.0,0.0,0.0
20,6,0.1,0.9470899470899471,0.9222024979427202,0.23076934147115657,-0.4221296296296295
20,6,0.2,0.9250440917107584,0.8876091383880271,0.30670801013932847,-0.15573939881910898
20,6,0.30000000000000004,0.9354256854256854,0.8280907652486357,0.3692749080617586,0.2737336860670194
20,6,0.4,0.9055555555555556,0.7761229805410035,0.42585723081400334,0.512119341563786
20,6,0.5,0.8640700915969732,0.7281158163511104,0.47758452335418244,0.39733922813632955
20,6,0.6,0.8425974025974026,0.7169081828133552,0.47986241921763906,0.4930034722222222
20,6,0.7000000000000001,0.7202272727272727,0.7326846900376311,0.5227177976719931,0.8660227272727273
20,6,0.8,0.6809041835357625,0.7029545454545454,0.6996342352685636,0.6594047619047619
20,6,0.9,0.0,0.0,0.0,0.0
20,9,0.1,0.9253689780005571,0.859623533606505,0.273193271641332,-0.3428292181069959
20,9,0.2,0.9018518518518519,0.7858391312065449,0.34631497388385196,-0.23488392698919014
